,Entity1,Entity2,Relation
7672,redirect,results,scored
7673,model,sequence,utilising
7674,features,4,provided
7675,samples,periods,captured
7676,dataset,period,provide
7677,data,connections,captured
7678,understanding,datasets,wanted
7679,features,internet,redirect
7680,dataset,class,contain
7681,checks,Table,seen
7682,requirements,accuracy,justified
7683,266,time,achieves
7684,Introducing,time,achieves
7685,layers,model,added
7686,paper,redirections,trained
7687,chains,REdiREKT,Burgess
7688,parameters,test,optimised
7689,keys,traffic,captured
7690,Zeek,work,remains
7691,%,HTTPS,collected
7692,sources,features,explored
7693,DNS.log,names,identify
7694,domain,expiration,registered
7695,file,binary,downloaded
7696,expanding,work,dataset
7697,malware,attacks,apply
7698,consuming,analysis,requires
7699,code,data,captured
7700,code,publication,published
7701,experiment,GitHub,published
7702,data,request,required
7703,Anatomy,kits,Springer
7704,Ma,strategy,decline
7705,Matsunaka,IEEE,detect
7706,user,IEEE,Detecting
7707,detection,similarities,Shibahara
7708,Stringhini,Proceedings,detect
7709,technique,chains,reveal
7710,experiment,paper,carried
7711,authors,mentorship,helped
7712,author(s,manuscript,read
7713,Nature,affiliations,remains
7714,article,changes,permits
7715,article,material,included
7716,use,holder,need
7717,data,centre,Manage
7718,records,servers,targeted
7719,Facebook,website,announced
7720,members,names,claim
7721,Facebook,access,posted
7722,group,server,Read
7723,shortcomings,healthcare,says
7724,government,video,posted
7725,government,claims,writing
7726,server,issue,said
7727,claims,exploits,taken
7728,website,sheet,screenshot
7729,measure,citizens,needs
7730,consequences,security,downfall
7731,data,miscalculations,website
7732,Swig,article,reached
7733,connections,technology,matters
7734,threats,hacking,increase
7735,network,modification,exposed
7736,activity,attacks,observe
7737,study,applications,covers
7738,people,environment,motivated
7739,activities,communication,creates
7740,firewalls,security,deployed
7741,firewalls,attack,adjust
7742,collect,organization,predict
7743,threats,behavior,provide
7744,security,network,initiated
7745,hackers,attack,try
7746,system,step,tries
7747,detection,activities,refers
7748,types,techniques,include
7749,techniques,signature,detect
7750,techniques,rules,required
7751,techniques,admin,observe
7752,techniques,data,worked
7753,suspicions,outliers,attitudes
7754,study,cybersecurity,start
7755,categories,ability,provided
7756,database,patterns,told
7757,matches,behavior,compares
7758,KDDcup,dataset,surveyed
7759,method,record,extract
7760,algorithms,data,contains
7761,steps,record,informed
7762,DM,meanings,confusing
7763,learning,ability,describes
7764,ML,intelligence,interacts
7765,scholars,learning,highlight
7766,use,accuracy,gets
7767,example,training,divided
7768,shows,ML,supervised
7769,learning,data,nonlabeled
7770,PMML,7,gives
7771,version,classifiers,feedforward
7772,PMML,2009,found
7773,mining,Figure,provides
7774,viewpoint,objectives,scheme
7775,understanding,problems,starts
7776,model,aims,implemented
7777,evaluate,issues,ensure
7778,development,models,handle
7779,data,method,split
7780,algorithm,validation,method
7781,trials,subset,calculated
7782,table,model,describe
7783,algorithm,learning,called
7784,matrix,Accuracy,follows
7785,patterns,class,estimated
7786,AUC,classifier,curve
7787,metrics,data,unsupervised
7788,DARPA,evaluation,develop
7789,dataset,IDS,contains
7790,attack,DOS,added
7791,data,attacks,sets
7792,features,links,al
7793,12,creation,observed
7794,dataset,evaluation,concluded
7795,dataset,research,concluded
7796,training,connections,dataset
7797,classifier,ways,dataset
7798,version,tasks,dataset
7799,dataset,records,contains
7800,dataset,attack,categorized
7801,intruders,resources,type
7802,intruder,access,attempts
7803,intruder,resources,collects
7804,protocols,packets,produced
7805,software,analyzer,collected
7806,border,payload,contains
7807,packet,interface,sense
7808,Cisco,Netflow,introduced
7809,capacity,traffic,gather
7810,packets,address,explains
7811,data,packets,compressed
7812,DT,classification,leaves
7813,types,C4.5,DT
7814,gain,data,supervised
7815,ID3,attributes,uses
7816,Entropy,data,calculate
7817,homogeneity,zero,entropy
7818,data,attribute,entropy
7819,tree,gain,gives
7820,value,levels,biased
7821,experiment,dataset,performed
7822,tree,system,showed
7823,methods,activity,detect
7824,millions,percent,validation
7825,experiment,dataset,detect
7826,experiment,domains,performed
7827,experiment,Web,performed
7828,rate,study,noticed
7829,domains,period,finds
7830,research,hosts,present
7831,work,dataset,included
7832,accuracy,validation,showed
7833,network,algorithm,suggested
7834,models,tree,proposed
7835,dataset,algorithms,involved
7836,method,probe,suggested
7837,network,function,inspired
7838,layer,Figure,shown
7839,experiment,methods,showed
7840,system,detection,showed
7841,ability,networks,improvement
7842,Reshamwala,behavior,enhance
7843,IDS,challenges,described
7844,variable,source,helps
7845,study,rules,explained
7846,presentation,rate,working
7847,experiment,problems,recommended
7848,Meshram,detection,suggested
7849,dataset,network,showed
7850,model,indications,shows
7851,BN,implication,use
7852,system,unforeseen,assumed
7853,input,patterns,comes
7854,Choosing,traffic,needs
7855,IDS,diagram,developed
7856,results,data,showed
7857,model,system,build
7858,capacity,dataset,showed
7859,attacks,flow,given
7860,Goeschel,ratio,promised
7861,DT,efficiency,improve
7862,role,classifier,suggested
7863,author,work,suggested
7864,items,resemblances,depends
7865,data,classes,need
7866,terms,model,input
7867,KDD,activity,minimize
7868,properties,attack,showed
7869,area,attacks,implemented
7870,performance,cyberoperations,gave
7871,Zaki,ratio,achieved
7872,methods,learners,joining
7873,method,ML,minimize
7874,minimize,model,depends
7875,trees,input,attributes
7876,forest,forest,increases
7877,accuracies,method,noted
7878,patterns,outliers,determine
7879,method,calculation,improves
7880,approach,alarm,proves
7881,paper,rate,include
7882,control,estimation,minimize
7883,Patra,test,worked
7884,Dos,probe,contains
7885,method,ratio,got
7886,dataset,measure,categorizes
7887,set,classification,includes
7888,FAR,%,assumed
7889,accuracy,classes,resulted
7890,algorithm,problems,supervised
7891,class,classes,based
7892,classification,class,understood
7893,dimension,method,proposed
7894,accuracy,work,dataset
7895,records,traffic,applied
7896,technique,data,approach
7897,types,rate,recorded
7898,HMMs,order,developing
7899,models,picture,gives
7900,detection,Figure,shown
7901,state,designation,makes
7902,P,model,defines
7903,probability,distribution,observed
7904,features,records,found
7905,approach,rate,showed
7906,Injection,dataset,studied
7907,study,framework,Phoha
7908,traffic,normal,showed
7909,accuracy,rate,features
7910,efficiency,parameters,improved
7911,papers,techniques,use
7912,Netflow,Tcpdump,shows
7913,method,layout,applied
7914,IDS,security,inspected
7915,python,RStudio,software
7916,functionality,analysis,sample
7917,tool,mining,provides
7918,library,test,facilitates
7919,data,test,estimate
7920,Weka,learning,implement
7921,data,preprocessing,tools
7922,Weka,GUI,use
7923,RF,tree,result
7924,SVM,performances,boosted
7925,methods,implementation,showed
7926,system,info,designed
7927,literature,data,explained
7928,model,feature,shower
7929,methods,model,consider
7930,model,use,trained
7931,anomalies,detection,detect
7932,signatures,signatures,detection
7933,detection,use,depends
7934,SVM,rules,performs
7935,signatures,tree,identified
7936,approaches,tree,entropy
7937,rules,method,comes
7938,data,qualities,explore
7939,knowledge,method,determine
7940,data,behaviors,research
7941,data,properties,algorithms
7942,methods,alarms,generate
7943,environments,rate,performance
7944,admins,attack,deal
7945,strategy,group,develop
7946,methods,environment,need
7947,plans,flow,available
7948,selection,classes,attributes
7949,problem,delivery,reduced
7950,data,test,avoid
7951,study,security,demonstrates
7952,papers,misuse,define
7953,system,diagnose,recommend
7954,deal,label,understood
7955,ML,applications,uses
7956,study,detection,explore
7957,authors,paper,declare
7958,article,work,distributed
7959,contributions,Editors,selected
7960,article,application,Accesses
7961,Achilles,applicable,heel
7962,abstraction,components,rely
7963,isolates,security,guarantee
7964,providers,unikernels,introduces
7965,paper,isolation,proposes
7966,leverages,unikernel,provide
7967,benefits,approaches,compared
7968,process,configuration,calls
7969,UniK,applications,achieve
7970,evaluation,performance,shows
7971,machine,utilization,supports
7972,unikernel,issues,mitigate
7973,unikernels,base,promise
7974,lack,applications,makes
7975,process,client,allow
7976,isolation,bug,memory
7977,Linux,applications,supporting
7978,instances,OS,help
7979,scale,Fig,lead
7980,solution,isolation,uses
7981,Intel,applications,provide
7982,techniques,protection,reverse
7983,protection,processes,implement
7984,UniK,OSv,shows
7985,UniK,unikernels,provides
7986,applications,practicability,UniK.
7987,support,design,motivate
7988,Researchers,systems,proposed
7989,environment,applications,reduce
7990,OS,processes,provides
7991,system,guest,runs
7992,calls,kernel,redirect
7993,OS,benefit,help
7994,2017,instantiation,leverages
7995,systems,management,enjoy
7996,applications,security,rely
7997,MPM,server,provides
7998,MPM,libraries,guarantees
7999,data,users,deployed
8000,secrets,application,disclosed
8001,attackers,process,read
8002,designs,need,proposed
8003,Linux,Linux,runs
8004,Intel,userspace,MPK
8005,register,page,contains
8006,PKRU,wrpkru,provides
8007,studies,Libmpk,focused
8008,design,abstraction,rely
8009,efficient,applications,handle
8010,paper,UniK.,provide
8011,process,process,treated
8012,Applications,UniK.,run
8013,attackers,methods,assume
8014,code,process,untrusted
8015,process,system,ensures
8016,services,checks,intercepted
8017,attacks,application,think
8018,UniK,work,addressed
8019,process,sandbox,treated
8020,UniK,sandboxes,uses
8021,application,mode,shared
8022,process,sandbox,isolate
8023,UniK,model,provides
8024,APIs,1,provided
8025,argument,sandbox,tells
8026,process,SANDBOX_FORK,create
8027,list,configuration,denied
8028,applications,services,use
8029,user,use,achieves
8030,isolation,codes,tell
8031,OSv,space,adopts
8032,process,space,world
8033,sandboxes,Fig,provide
8034,kernel,table,means
8035,needs,tampering,protected
8036,sense,unikernel,restricted
8037,MPK,space,provide
8038,MPK,behavior,proposed
8039,Rights,pages,configured
8040,entry,page,contains
8041,privilege,memory,accesses
8042,access,Fig,denied
8043,figure,region,set
8044,code,space,tries
8045,jump,execute,means
8046,MPK,pages,check
8047,%,%,edx
8048,mode,bits,protected
8049,flow,kernel,uses
8050,Figure,checks,protected
8051,sandbox,functions,calls
8052,code,data,update
8053,PKRU,code,set
8054,UniK,registers,ensures
8055,stack,thread,protected
8056,control,integrity,called
8057,kernel,unikernel,jump
8058,UniK,design,uses
8059,table,codes,needs
8060,codes,kernel,unmapped
8061,codes,Gate,ensures
8062,introduces,applications,shows
8063,C++,code,implement
8064,OSv,programs,adopts
8065,feature,applications,needed
8066,UniK,abstraction,adds
8067,modifies,processes,scheduler
8068,space,mechanism,separated
8069,space,process,shared
8070,work,heap,provide
8071,process,copy,creates
8072,applications,processes,create
8073,Programmers,things,use
8074,process,context,pushes
8075,thread,pid,struct
8076,process,write,turns
8077,resources,process,copied
8078,registers,address,restores
8079,process,process,wakes
8080,segment,modifications,ensure
8081,thread,data,needs
8082,Gate,interface,reduce
8083,application,Gate,needs
8084,Gate,applications,calls
8085,table,address,records
8086,handler,Gate,protected
8087,switches,function,sets
8088,Gate,compilation,replaces
8089,process,stages,consists
8090,UniK,Gate,gets
8091,ID,Gate,passed
8092,design,UniK.,improves
8093,UniK,instructions,uses
8094,Gate,protects,caused
8095,registers,failures,cause
8096,Gate,table,read
8097,boot,runs,unmapped
8098,binaries,code,scanned
8099,code,effort,added
8100,UniK,operations,try
8101,UniK,unikernel,implemented
8102,C++,code,commit
8103,experiments,tests,assigned
8104,system,UniK.,calls
8105,Linux,KVM,running
8106,UniK,isolation,include
8107,impacts,methods,compare
8108,system,latencies,mean
8109,overhead,gates,brought
8110,Gate,kernel,introduces
8111,system,OSv,unikernels
8112,OSv,kernel,shows
8113,instructions,table,invoked
8114,Kylinx,ms,takes
8115,Graphene,fork&exit,test
8116,IPC,Linux,Graphene
8117,UniK,designs,believe
8118,UniK,compatibility,run
8119,overhead,requests,introduced
8120,server,clients,listening
8121,process,request,handle
8122,server,server,use
8123,result,Fig,shown
8124,methods,gate,result
8125,applications,UniK.,advantage
8126,version,requests,tested
8127,unikernel,vCPUs,assigned
8128,codes,requests,accepting
8129,UniK,time,run
8130,result,Fig,shown
8131,pressure,introduces,requests
8132,UniK,core,rises
8133,Iso,OSv,UniK
8134,processes,increases,increases
8135,introduced,security,helps
8136,applications,sandboxes,processes
8137,pool,data,represent
8138,application,data,reach
8139,Gate,data,shows
8140,application,code,designed
8141,MPK,write,modify
8142,code,attacker,exploit
8143,process,sandboxes,affect
8144,applications,permissions,jump
8145,continue,functions,continue
8146,data,Unreadable,need
8147,wrpkru,permissions,tries
8148,applications,Gate,jump
8149,level,mechanisms,improving
8150,challenges,design,met
8151,Gate,data,modify
8152,change,permission,exposed
8153,arguments,stack,lost
8154,arguments,calls,accelerate
8155,version,arguments,uses
8156,functions,switches,passed
8157,function,stack,finished
8158,Gate,thread,called
8159,process,process,created
8160,Father,change,running
8161,process,father,use
8162,Write,usage,considered
8163,UniK,unikernel,adds
8164,page,handler,adds
8165,fault,table,happens
8166,fork,value,jumps
8167,address,RSP,found
8168,process,time,needs
8169,processor,latency,assigned
8170,kernel,space,shared
8171,table,processes,copied
8172,unikernel,manager,plays
8173,mechanisms,IPC,fork
8174,feature,architecture,introduced
8175,features,ARM,found
8176,methods,architectures,unikernels
8177,art,unikernels,explored
8178,help,Linux,runs
8179,treats,problem,uses
8180,vendors,hypervisor,requires
8181,method,mode,proposes
8182,2017,hypervisor,applies
8183,MPK,isolation,feature
8184,2019,MPK,provides
8185,MPK,integrity,helps
8186,ERIM,codes,modify
8187,switch,performance,proposes
8188,machine,hypervisor,enables
8189,XPC,transfer,proposes
8190,lack,applications,makes
8191,feature,Nginx,ensure
8192,paper,unikernels,proposes
8193,modifications,hypervisor,need
8194,UniK,isolation,uses
8195,support,process,Machinery
8196,Intel,manual,Ⓡ
8197,execution,Environments,Machinery
8198,Scholar,bug,heartbleed
8199,library,14,Machinery
8200,system,virtualization,Association
8201,study,implementation,conceived
8202,author,paper,wrote
8203,results,manuscript,discussed
8204,authors,manuscript,read
8205,authors,interests,declare
8206,Nature,affiliations,remains
8207,article,changes,permits
8208,article,material,included
8209,use,holder,need
8210,citation,Conditions,agree
8211,data,centre,Manage
8212,country,States,verge
8213,campaign,history,depend
8214,family,artifacts,walls
8215,legacy,world,left
8216,decisions,legacy,speculation
8217,pipeline,environmentalists,expected
8218,illegals,group,orders
8219,Congress,laws,change
8220,mistake,troops,withdrawal
8221,media,debate,feeding
8222,Historians,presidents,play
8223,facts,view,written
8224,presidents,reputations,altered
8225,Truman,office,left
8226,Eisenhower,marks,going
8227,Bush,decades,getting
8228,presidents,level,served
8229,people,legacy,staff
8230,Reagan,theory,operated
8231,ranch,Lawn,displayed
8232,knowing,work,want
8233,people,opportunities,care
8234,country,opportunities,gave
8235,Reagan,country,loved
8236,party,level,suffered
8237,plan,insurance,estimates
8238,bill,implementation,cost
8239,ear,president,seen
8240,meeting,issue,discuss
8241,UK,idea,want
8242,Cameron,UK,suggested
8243,speech,regimes,ridiculed
8244,law,Swartz,proposed
8245,law,password,criminalize
8246,systems,start,risked
8247,citizens,website,recommend
8248,Cameron,doctrine,appear
8249,Cameron,proposal,proven
8250,Comey,Comey,proposed
8251,Cameron,ban,plan
8252,incidents,attacks,introduced
8253,Department,jail,threaten
8254,Aaron,trial,took
8255,researchers,proposals,making
8256,companies,government,offered
8257,penalties,problems,page
8258,God,relationship,forbid
8259,attacks,networks,Accesses
8260,models,anonymity,figured
8261,needs,defenders,improve
8262,shift,cybersecurity,requires
8263,issues,situation,improve
8264,effort,simulation,provide
8265,Warner,cybercrime,delivered
8266,Warner,cybercrimes,explained
8267,money,cybercriminals,Benefits
8268,Report,ransom,shows
8269,criminals,identities,accept
8270,identities,attacks,compromised
8271,cyber,Trojan,attacks
8272,grid,attack,suffered
8273,malware,emails,considered
8274,work,Donaldson,depicts
8275,threat,deposit,includes
8276,Losses,threats,caused
8277,Attackers,network,try
8278,tools,attackers,find
8279,stages,industry,pays
8280,respondents,data,gain
8281,criminals,defenders,advantage
8282,areas,improvement,need
8283,Justice,context,argues
8284,cybersecurity,techniques,described
8285,study,cybersecurity,emphasizes
8286,networks,form,means
8287,environment,people,presents
8288,biases,cyberspace,affect
8289,advancing,journals,believe
8290,users,security,deal
8291,task,infrastructure,stated
8292,developers,design,focus
8293,simulations,threats,involved
8294,life,attacks,use
8295,vulnerabilities,budget,affected
8296,companies,security,maximize
8297,report,security,found
8298,status,problem,means
8299,stand,findings,conducted
8300,contributions,cybercrimes,explore
8301,2014,magnitudes,started
8302,databases,EBSCO,searched
8303,results,students,include
8304,professionals,teams,explains
8305,speakers,tools,observed
8306,approach,users,determine
8307,factors,traits,suggest
8308,Louderback,ecosystem,conducted
8309,criminologists,area,found
8310,crime,theory,found
8311,justice,cybercrimes,criminologists
8312,perceptions,designs,help
8313,sections,framework,proposed
8314,error,requirement,makes
8315,approach,healthcare,makes
8316,Factors,section,discussed
8317,framework,programs,propose
8318,areas,Fig,depicted
8319,offenders,defenders,ignored
8320,factors,error,trigger
8321,design,conditions,enables
8322,everybody,incentives,recommends
8323,worth,risks,improve
8324,user,threats,cause
8325,Caulkins,research,needs
8326,performance,training,defenders
8327,factors,approaches,contribute
8328,incident,incidents,underestimate
8329,Equifax,Commission,announced
8330,people,breach,includes
8331,breach,employee,happened
8332,data,intellect,uses
8333,intrusion,trails,Lahcen
8334,attack,passwords,surveyed
8335,force,security,defeat
8336,ones,passwords,takes
8337,users,password,find
8338,companies,procedures,mandate
8339,users,websites,use
8340,code,structure,modify
8341,Scripting,webpages,injects
8342,user,information,reveal
8343,examples,section,discussed
8344,networks,passwords,change
8345,network,point,hacked
8346,hacker,enumeration,uses
8347,background,strokes,runs
8348,review,profiles,discusses
8349,script,novice,kiddies
8350,level,gain,intent
8351,motives,benefits,called
8352,levels,notoriety,high
8353,motive,capabilities,hold
8354,warriors,groups,placed
8355,manage,skills,include
8356,motives,moves,understand
8357,defenders,combat,need
8358,Hackers,employee,changed
8359,hacker,filing,include
8360,code,secret,gave
8361,machine,game,want
8362,instructions,goal,thinking
8363,casinos,sources,spend
8364,casinos,people,said
8365,surface,hacker,defined
8366,surface,vulnerability,involves
8367,jewels,data,example
8368,inventories,devices,authorized
8369,place,accounts,identify
8370,employees,risks,aware
8371,reporting,breach,clear
8372,companies,productivity,emphasizing
8373,analyze,options,think
8374,threat,management,recognized
8375,surveys,cybersecurity,considered
8376,companies,breaches,stated
8377,concerns,programs,translate
8378,threat,cybersecurity,comes
8379,theories,models,applied
8380,defenders,vulnerabilities,represent
8381,behavior,satisfaction,builds
8382,defenders,behaviors,verify
8383,organizations,damage,concluded
8384,2009,privileges,added
8385,categories,theories,approaches
8386,CHAMPION,insider,described
8387,CHAMPION,data,represent
8388,facts,system,concluded
8389,interpretation,statements,stacked
8390,models,threat,discussed
8391,insiders,events,suffered
8392,policies,threat,controls
8393,organizations,reputation,choose
8394,error,taxonomy,considers
8395,error,Fig,summarized
8396,error,al,adopt
8397,action,system,exceeds
8398,lessons,programs,allows
8399,failures,failure,allows
8400,category,skills,decided
8401,user,assets,caused
8402,action,privacy,bring
8403,design,blame,consider
8404,users,making,realize
8405,accounts,risk,knowing
8406,websites,media,visits
8407,leaves,drawer,uses
8408,error,data,occur
8409,links,verification,download
8410,employee,links,click
8411,decoys,activities,learn
8412,programs,exercises,implement
8413,employees,programs,suggest
8414,goal,workloads,improve
8415,design,requirements,mentioned
8416,organization,location,characterize
8417,differentiate,data,dealing
8418,security,data,persons
8419,JIT,privileges,helps
8420,mitigate,data,need
8421,transit,network,closed
8422,error,confidentiality,helps
8423,user,parts,affects
8424,design,points,identify
8425,scientists,cybersecurity,attempted
8426,authors,account,emphasized
8427,introduce,issues,help
8428,norms,cognition,comes
8429,theories,forms,studied
8430,standard,normativity,recognized
8431,Han,answer,attempted
8432,logic,arguments,happens
8433,logic,strength,encouraged
8434,Behavior,Fig,depicted
8435,attitudes,intention,indicates
8436,TPB,behavior,postulates
8437,intention,consideration,demonstrates
8438,pressure,beliefs,structure
8439,order,plan,understand
8440,Vandebosch,months,studied
8441,intention,norm,followed
8442,intention,spyware,integrated
8443,managers,networks,create
8444,TPB,behaviors,Roberts
8445,findings,intention,indicate
8446,Theory,SCT,initiated
8447,learning,context,happens
8448,Figure,al,depicts
8449,behavior,behavior,learned
8450,person,crime,makes
8451,tries,behavior,explain
8452,SCT,behavior,applied
8453,studies,users,support
8454,requirements,performance,bring
8455,2005,literature,summarized
8456,theories,crime,involve
8457,programs,perpetrators,deter
8458,attention,punishment,found
8459,techniques,behaviors,use
8460,intention,policies,violate
8461,state,act,exists
8462,people,pleasure,postulates
8463,activities,empathy,involve
8464,satisfactions,consequences,provide
8465,theory,theories,applied
8466,framework,Freilich,al
8467,responsibility,crime,discussed
8468,reducing,enforcement,depend
8469,decisions,models,include
8470,threats,gap,indicates
8471,terms,measures,challenges
8472,context,judgement,doubt
8473,MCDM,alternatives,involve
8474,weighted,model,remains
8475,engineering,challenges,authors
8476,criteria,alternatives,suggest
8477,theories,authors,assume
8478,2017,making,Process
8479,framework,criteria,employed
8480,continuance,conditions,viewpoint
8481,situation,threat,requires
8482,time,strategy,constraints
8483,findings,policy,provide
8484,MCDM,interface,added
8485,people,world,depends
8486,hierarchies,knowledge,assumes
8487,criteria,hypothesis,defines
8488,HPR,criteria,propose
8489,HPR,interface,control
8490,persons,access,use
8491,Cialdini,behavior,identified
8492,authors,article,addressed
8493,actions,credibility,view
8494,Hackers,behavior,use
8495,Reciprocity,favors,feeling
8496,Hackers,return,offer
8497,person,lead,follows
8498,users,data,use
8499,model,data,persuade
8500,credentials,authority,decree
8501,Authority,loss,bring
8502,actions,user,find
8503,Researchers,characters,found
8504,user,liking,increased
8505,Neuroticism,attacks,indicates
8506,user,authority,resist
8507,Conscientiousness,attacks,decrease
8508,user,susceptibility,increased
8509,users,attacks,reduces
8510,2013,attacks,found
8511,researchers,scams,discussed
8512,emails,engineering,found
8513,principles,attacks,increase
8514,persuasion,persuasion,suggests
8515,message,elaboration,faced
8516,domains,crime,identify
8517,company,targets,harden
8518,questions,response,asked
8519,theories,behavior,explain
8520,factors,program,consider
8521,Grata,perimeters,use
8522,Integrating,attack,classify
8523,creating,attitudes,improve
8524,defenders,confidentiality,lack
8525,engineers,phone,vishing
8526,researchers,discipline,learn
8527,6,Parush,found
8528,aspects,error,address
8529,environment,characteristics,requires
8530,factors,error,recognize
8531,vigilance,mistakes,contribute
8532,Norman,error,argues
8533,aviation,communication,lack
8534,report,attack,found
8535,communication,awareness,affect
8536,communication,plans,changes
8537,aim,information,miss
8538,Complacency,level,cause
8539,breach,breach,feel
8540,mistake,paper,cause
8541,Distraction,attack,mentioned
8542,hackers,teams,cause
8543,Fatigue,factor,mentioned
8544,stress,weaknesses,cause
8545,environment,factors,discussed
8546,communicating,feedback,teammates
8547,awareness,vigilant,caused
8548,user,behavior,conduct
8549,pitfalls,industries,recognized
8550,Cyber,emergencies,defenders
8551,budget,efficiency,depends
8552,sources,failure,documenting
8553,plans,actors,geared
8554,users,procedures,Assuming
8555,users,violations,Assuming
8556,cyberspace,element,unmanned
8557,Inappropriate,tools,use
8558,concerns,Noyes,match
8559,tools,security,provide
8560,need,test,develop
8561,beds,strategies,environments
8562,tools,Testbed,established
8563,life,sets,scenarios
8564,mechanisms,modeling,discussed
8565,anomalies,simulation,use
8566,application,ping,send
8567,file,application,start
8568,attempt,URLs,open
8569,Goerger,inferences,stated
8570,models,models,directed
8571,simulate,risk,mitigate
8572,authors,et,Xie
8573,2010,uncertainties,identify
8574,theories,simulation,tested
8575,behaviors,threats,predicts
8576,awareness,threats,affected
8577,model,properties,try
8578,models,mode,require
8579,network,Berman,surveyed
8580,banks,transactions,expanded
8581,system,environment,identify
8582,modeling,interactions,analyze
8583,networks,methods,shown
8584,agents,users,act
8585,System,protocols,studying
8586,endeavors,association,imitate
8587,behavior,machine,proposed
8588,goal,importance,underscore
8589,limitations,model,strengthen
8590,area,incidents,help
8591,maximizing,element,considering
8592,Reagan,cybersecurity,mentioned
8593,verification,work,going
8594,differentiate,behaviors,desired
8595,employees,neutralization,comply
8596,credentials,responsibilities,levels
8597,size,programs,fits
8598,compliance,employees,needs
8599,factors,simulation,bring
8600,Enterprises,work,involved
8601,return,security,motivate
8602,model,Fig,depicted
8603,Theory,Addae,planned
8604,methods,security,survey
8605,Report,Outcomes,Leads
8606,Burns,behaviour,predicting
8607,Threats,Practices,Filkins
8608,Survey,managers,spotlights
8609,Hald,properties,updated
8610,Hardy,theory,Tests
8611,Lahcen,Springer,survey
8612,stories,hackers,exploits
8613,factors,hazards,toolkit
8614,beliefs,Citavi,developing
8615,field,improvement,guide
8616,Antismoking,ads,tries
8617,Scholar,prevention,Survey
8618,Eng,2017:1940–1945,ICPCSI
8619,insights,violations,Neutralization
8620,Analysis,behaviors,end
8621,attack,hacker,cyber
8622,Processes,METRICS,Create
8623,networks,analysis,cyber
8624,authors,paper,publish
8625,authors,manuscript,contributed
8626,author(s,manuscript,read
8627,Colonel,operations,experience
8628,capacity,capabilities,gained
8629,Bruce,Command,taught
8630,interests,methodologies,include
8631,Orlando,Mathematics,received
8632,papers,journals,written
8633,papers,conferences,edited
8634,Kumar,Science,working
8635,Kumar,University,obtained
8636,Mines,awards,received
8637,students,repute,published
8638,Kumar,ICNAAM,chaired
8639,conferences,Janeiro,visited
8640,authors,interests,declare
8641,Nature,affiliations,remains
8642,article,changes,permits
8643,article,material,included
8644,use,holder,need
8645,Review,cybersecurity,insight
8646,data,centre,Manage
8647,deserves,deaths,said
8648,person,food,deserves
8649,discussion,people,prevent
8650,backlash,solidarity,demands
8651,help,terror,face
8652,things,thing,support
8653,murders,types,endorse
8654,magazine,manner,focused
8655,await,majority,insists
8656,spectrum,things,hold
8657,terrorism,diversity,need
8658,painting,France,apologise
8659,Muslims,humour,spawned
8660,complex,premises,taken
8661,attacks,France,mosques
8662,jihadists,Levant,homegrown
8663,bound,prevention,commit
8664,means,way,able
8665,scam,strangers,describes
8666,term,phenomenon,explained
8667,Smishing,data,send
8668,fraudsters,details,deploy
8669,accounts,phone,emptied
8670,claims,messages,confirm
8671,Police,attacks,figures
8672,attacks,cybercrime,reported
8673,fraud,result,include
8674,frauds,Bureau,logged
8675,devices,email,hinted
8676,victims,target,designed
8677,preferences,details,came
8678,adults,times,carry
8679,Research,emails,shows
8680,users,messages,emails
8681,alerts,Swig,told
8682,victims,malware,uses
8683,actions,organizations,include
8684,time,suspicions,think
8685,gambits,organization,customizes
8686,schemes,attacks,makes
8687,Malik,Swig,told
8688,people,messages,led
8689,schemes,calls,reported
8690,IDs,organizations,use
8691,people,trust,increases
8692,Crossland,Swig,told
8693,student,reasons,said
8694,individuals,methods,believe
8695,organizations,attacks,popularized
8696,Crossland,link,admits
8697,actions,fall,ensure
8698,experts,messages,preach
8699,Synopsys,links,says
8700,sign,link,notified
8701,KnowBe4,attempt,says
8702,people,threats,warns
8703,organizations,headers,blocked
8704,organization,SMS,appears
8705,report,country,exists
8706,article,analysts,implied
8707,order,tasks,improve
8708,approach,programs,learn
8709,representations,tasks,demonstrate
8710,baseline,tasks,demonstrate
8711,researchers,code,inspect
8712,code,scenarios,needed
8713,code,executables,include
8714,vulnerabilities,system,improve
8715,CPU,programs,sense
8716,code,code,compiled
8717,removes,program,contain
8718,points,binaries,dealing
8719,applications,applications,large
8720,systems,code,allow
8721,programs,code,absence
8722,tools,power,requires
8723,researchers,solutions,turn
8724,algorithms,problems,applied
8725,algorithms,attacks,allow
8726,semantics,compilation,lost
8727,ML,data,requires
8728,problem,score,solved
8729,Approaches,metrics,range
8730,features,issues,raises
8731,researchers,features,come
8732,need,language,replaced
8733,learning,features,relies
8734,researchers,features,use
8735,vision,tasks,discovered
8736,finding,paragraphs,sentences
8737,binaries,graphs,represented
8738,hope,gap,compiled
8739,detection,patterns,limited
8740,approach,notions,aims
8741,Kipf,program,propose
8742,task,classes,distributed
8743,systems,heuristics,rely
8744,learning,tasks,proven
8745,form,features,classify
8746,calls,malware,calls
8747,solutions,features,rely
8748,features,functions,uses
8749,vectors,search,converts
8750,metrics,malware(Wüchner,works
8751,crafting,representations,purpose
8752,researchers,applications,inspired
8753,Researchers,discovery,suggested
